"severity","type","message","component","line"
"MINOR","CODE_SMELL","Remove the unnecessary boolean literal.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/service/TreatmentPlanService.java","367"
"MINOR","CODE_SMELL","Remove the unnecessary boolean literal.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/service/TreatmentPlanService.java","372"
"MINOR","CODE_SMELL","Remove the unnecessary boolean literal.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/service/TreatmentPlanService.java","445"
"MINOR","CODE_SMELL","Remove the unnecessary boolean literal.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/service/TreatmentPlanService.java","450"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/service/TreatmentPlanService.java","505"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/web/TreatmentPlanController.java","46"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/web/TreatmentPlanController.java","53"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/web/TreatmentPlanController.java","60"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/web/TreatmentPlanController.java","67"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/web/TreatmentPlanController.java","84"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/web/TreatmentPlanController.java","91"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/web/TreatmentPlanController.java","98"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/web/TreatmentPlanController.java","105"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal "" introuvable"" 4 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/QuestionService.java","31"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal "" introuvable"" 4 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/TestCatalogService.java","31"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal ""Utilisateur introuvable."" 3 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/identity/service/UserService.java","79"
